g1,g2,pvalue,bh
3rd_tri,1_month_post,0.9901011616143606,0.9901011616143606
3rd_tri,6_month_old,1.926124404080145e-11,1.1556746424480871e-10
3rd_tri,4_years_old,9.179710679389845e-6,1.3769566019084768e-5
1_month_post,6_month_old,6.256148107052001e-7,1.8768444321156003e-6
1_month_post,4_years_old,0.001371610633754392,0.0016459327605052702
6_month_old,4_years_old,6.653763489686696e-6,1.3307526979373392e-5
