otu,mda
otu1753,7.686665498994414
otu40,7.5618809507205365
otu78,7.083007345865598
otu16,6.869191815305803
otu136,6.641512568121373
otu813,6.058255215224065
otu90,5.94219329507219
otu65,5.693607593334418
otu1572,5.329695746288791
otu54,4.9737382314648535
otu31,4.852858604965272
otu1616,4.40808175097839
otu27,4.382615243639725
otu3,4.374877663861934
otu2616,4.192687845306453
otu30,4.167908961849315
otu473,4.079680303913102
otu22,3.970857076693471
otu13,3.7433007207505282
otu489,3.689900755063929
otu806,3.5726809924085114
otu100,3.4951951208184697
otu2020,3.432706712554741
otu2291,3.3806640328295936
otu443,3.3267289337028645
otu21,3.324649785482357
otu1758,3.2961854034646274
otu251,3.286769038913615
otu14,3.2358115335012725
otu36,3.208382557382064
otu1748,3.185621464082052
otu11,3.164939708172483
otu1551,3.072952177705478
otu1311,2.991991162929092
otu19,2.944517285001038
otu129,2.9162401442281447
otu47,2.8876207854442386
otu854,2.850056764373405
otu2737,2.789740393915242
otu110,2.6759803252752277
otu79,2.599324727221086
otu1269,2.5954288138563903
otu58,2.5839762904203
otu290,2.5474132031193877
otu1940,2.5105803492051324
otu25,2.440535695387166
otu613,2.439533691447565
otu145,2.4372252812298196
otu115,2.354391898538492
otu102,2.3321637847659717
otu28,2.3008816245933335
otu55,2.2812413996330134
otu127,2.270287592016393
otu1287,2.2264439196190433
otu2311,2.147456578596598
otu173,2.111342733648801
otu819,2.0731640767125796
otu394,2.059688520622114
otu240,2.047138545743735
otu294,2.0307685379472793
otu94,2.019819686948875
otu59,2.0152863933515492
otu53,2.0145879768296786
otu89,2.008721221248357
otu1882,1.9934371444892944
otu1294,1.9577392698260017
otu71,1.9122980899979705
otu1141,1.8957686423478033
otu81,1.8901825415588922
otu163,1.887957606713243
otu2700,1.8858961261519014
otu1063,1.8368243825193409
otu157,1.8315353156113994
otu279,1.8248086503067764
otu1560,1.795964190825052
otu2179,1.7866217836081157
otu118,1.7810321962253974
otu2656,1.779425923710865
otu2783,1.7679084608712627
otu628,1.744498104485777
otu332,1.696805756832861
otu120,1.6961635317772044
otu169,1.6811952094193572
otu1313,1.675113222049717
otu49,1.6731035024362346
otu393,1.6651422198145984
otu257,1.6644182998065116
otu428,1.6544112578974368
otu15,1.6494364925980636
otu191,1.6323086015249886
otu1271,1.631246116698273
otu2598,1.6211649131754347
otu2419,1.608565822941694
otu2496,1.5832356495780342
otu775,1.576358883284893
otu91,1.573917724035112
otu33,1.569349480195486
otu75,1.5676902804871231
otu56,1.561667259607138
otu50,1.5509858177251445
otu2,1.5408245892820145
otu144,1.5305671481453196
otu213,1.5073592458073497
otu835,1.5024610154789908
otu578,1.498015965840205
otu2699,1.4861594996261003
otu2075,1.4429595559199728
otu2450,1.4179306224782517
otu1479,1.4166761552372658
otu2780,1.414025931316652
otu467,1.4113506026443705
otu184,1.384725274505512
otu141,1.384365422933751
otu1995,1.3841362978545437
otu183,1.3784253640510946
otu51,1.3735512280999906
otu544,1.365149904791716
otu225,1.3634693567866447
otu148,1.3246170128239632
otu326,1.3121685104987515
otu794,1.3045879791010218
otu140,1.2997367957318873
otu666,1.2986359011129938
otu201,1.2961098843662264
otu293,1.2953183205671253
otu546,1.2773855720240985
otu635,1.2686543840384827
otu470,1.2668911923990924
otu38,1.2428899943301188
otu1779,1.2366890941765096
otu2566,1.2278199519706967
otu349,1.22569276154902
otu1113,1.2069306871641698
otu2584,1.2046752306524748
otu1752,1.195213269223102
otu166,1.1671551575280694
otu153,1.15006070985135
otu2538,1.1326152550388642
otu48,1.1310817860689433
otu204,1.1181241633017054
otu230,1.0669116467463444
otu2904,1.0613295711106243
otu331,1.0492105253008912
otu986,1.0405657572575777
otu295,1.0147778043377191
otu2779,1.001001502504383
otu1848,1.001001502504383
otu581,1.001001502504383
otu73,1.001001502504383
otu2388,1.0010015025043828
otu399,1.0010015025043828
otu42,1.0010015025043828
otu541,1.0010015025043828
otu44,1.000672742209196
otu448,0.9491807914636333
otu70,0.9407504902435094
otu106,0.9306380744365119
otu297,0.9173077644590509
otu2055,0.9030071489014944
otu214,0.8905151026501846
otu2937,0.88942230109671
otu292,0.8879905288658441
otu431,0.8786368925217396
otu77,0.8666973624418561
otu2849,0.8627910035571469
