otu,mda
otu247,0.22555380429191452
otu126,0.21208075857735748
otu224,0.21195055619976955
otu202,0.2077502111027647
otu116,0.20765467004324267
otu198,0.18948872841119746
otu2016,0.17891808979058177
otu362,0.17153038870417692
otu1,0.1573108149793871
otu2902,0.15702030035172354
otu80,0.15446639447075539
otu2687,0.143336527829255
otu269,0.13448740110224422
otu45,0.11749260685949425
otu26,0.11669663971884359
otu187,0.08604885569843657
otu737,0.08325465560209433
otu101,0.06392120929080514
otu996,0.023767702854799122
otu2917,0.01963431181584237
otu1547,0.01627843560976888
otu1408,1.1102230246251565e-16
otu848,1.1102230246251565e-16
otu2394,0
otu2534,0
otu2741,0
otu104,0
otu1131,0
otu1164,0
otu1165,0
otu1167,0
otu132,0
otu1332,0
otu1468,0
otu1469,0
otu1504,0
otu1525,0
otu1574,0
otu1665,0
otu1726,0
otu1777,0
otu185,0
otu1851,0
otu1863,0
otu1877,0
otu194,0
otu1974,0
otu2062,0
otu2068,0
otu2198,0
otu2250,0
otu235,0
otu2309,0
otu242,0
otu253,0
otu258,0
otu263,0
otu284,0
otu287,0
otu289,0
otu304,0
otu32,0
otu333,0
otu346,0
otu354,0
otu384,0
otu385,0
otu408,0
otu413,0
otu422,0
otu435,0
otu469,0
otu481,0
otu491,0
otu500,0
otu513,0
otu532,0
otu534,0
otu537,0
otu582,0
otu586,0
otu594,0
otu607,0
otu611,0
otu612,0
otu638,0
otu684,0
otu724,0
otu738,0
otu745,0
otu833,0
otu895,0
otu910,0
otu913,0
otu983,0
otu1998,-1.1102230246251565e-16
otu691,-1.1102230246251565e-16
otu2905,-2.469910278644072e-4
otu180,-0.01641446551674186
otu971,-0.037549832009059037
otu2251,-0.05360458315601645
otu261,-0.1066786720658337
otu17,-0.14354777308616723
otu386,-0.17706215038184614
otu2331,-0.19079435397622188
otu808,-0.1941830576494348
otu661,-0.20780230154320112
otu380,-0.2409179833053988
otu123,-0.3307375266717283
otu278,-0.33635754156112907
otu325,-0.42477598973254926
otu161,-0.47385547408847706
otu2558,-0.5005007512521914
otu1342,-0.5005007512521914
otu358,-0.5005007512521914
otu485,-0.5005007512521914
otu1905,-0.5005007512521915
otu344,-0.5005007512521915
otu365,-0.5005007512521915
otu456,-0.5005007512521915
otu463,-0.5005007512521915
otu62,-0.5005007512521915
otu5,-0.5735676471590618
otu9,-0.6296368287943941
otu1674,-0.633913564924278
otu154,-0.6455788811801162
otu1226,-0.6598042216993956
otu2511,-0.6820030405089292
otu629,-0.7054196493242232
otu429,-0.9497970258554163
otu2499,-0.9755752802642982
otu124,-1.1589267258398546
otu1853,-1.407121099420423
